Individual,Roll.front.side_view_swing_arm_angle_l,Roll.front.roll_center.y,Roll.front.camber_angle_gain_roll_l,Steering.front.ackerman_angle,Steering.front.tie_rod_angle_front_view_l,Steering.front.tie_rod_angle_top_view_l,2in Heave.front.motion_ratio_heave_l,2in Heave.front.rocker_coil_over_angle_l,2in Heave.front.rocker_p_rod_angle_l,2in Heave.front.p_rod_length_l,2in Heave.front.coil_over_length_l,2in Heave.front.tie_rod_angle_top_view_l,2in Heave.front.toe_angle_l,2in Heave.front.side_view_swing_arm_angle_l,2in Heave.front.roll_center_gnd.z,
0,0.0322679,34.969,5.69368,0.40023,14.3279,3.90436,19.8621,0.0376805,0.821632,0,39.6079,3.49877,3.26291,0.0794183,31.1484,
1,0.0315122,34.9687,5.6936,0.399668,14.3275,3.90543,19.8626,0.0407448,0.818115,0,39.6073,3.49984,3.26338,0.0801606,31.148,
2,0.0316075,34.9687,5.69362,0.399899,14.3286,3.90498,19.8623,0.0418529,0.817812,0,39.6067,3.49939,3.26222,0.080734,31.1481,
3,0.0314366,34.9689,5.69364,0.401058,14.328,3.90519,19.8596,0.0390853,0.819893,0,39.6102,3.49961,3.26217,0.080216,31.1482,
4,0.0322235,34.9689,5.69366,0.400043,14.3274,3.90452,19.8655,0.041933,0.817154,0,39.6056,3.49892,3.2635,0.0795845,31.1483,
5,0.0323376,34.9685,5.69356,0.400144,14.328,3.90449,19.8668,0.0393007,0.82143,0,39.6033,3.4989,3.26273,0.0800088,31.1478,
6,0.0322575,34.969,5.69369,0.400127,14.3287,3.90436,19.863,0.0437436,0.816327,0,39.6071,3.49876,3.26223,0.0798259,31.1485,
7,0.0316774,34.9686,5.69358,0.399768,14.327,3.9056,19.8673,0.0419815,0.817301,0,39.6029,3.50002,3.26382,0.0803482,31.1479,
8,0.0321805,34.9685,5.69354,0.400126,14.3277,3.90517,19.8644,0.0433341,0.816003,0,39.6067,3.49959,3.26279,0.0801088,31.1477,
9,0.0325107,34.9688,5.69366,0.400173,14.3276,3.90427,19.8621,0.0449145,0.816731,0,39.6071,3.49868,3.26332,0.0798089,31.1483,
10,0.0325128,34.9688,5.69365,0.40042,14.3277,3.90418,19.8677,0.0444426,0.817656,0,39.6013,3.49859,3.26309,0.0800653,31.1483,
11,0.0319747,34.9688,5.69363,0.399848,14.3279,3.90587,19.8634,0.0396829,0.820531,0,39.6064,3.5003,3.26266,0.0793841,31.1482,
12,0.0317633,34.9686,5.69359,0.399913,14.3264,3.90562,19.8659,0.0396833,0.820356,0,39.6045,3.50004,3.26425,0.0799846,31.1479,
13,0.0329766,34.9688,5.69365,0.400128,14.3277,3.90463,19.8678,0.0420185,0.818275,0,39.6027,3.49904,3.26296,0.079756,31.1482,
14,0.0321723,34.9688,5.69363,0.399907,14.3281,3.90507,19.8655,0.0388124,0.821309,0,39.6057,3.49949,3.26259,0.0796043,31.1482,
15,0.0324218,34.9688,5.69364,0.399789,14.3263,3.90557,19.8633,0.0433,0.815942,0,39.6079,3.49999,3.26454,0.0793305,31.1482,
16,0.0320807,34.9689,5.69364,0.400001,14.3272,3.90492,19.8643,0.0379696,0.823054,0,39.6059,3.49933,3.26364,0.0799581,31.1482,
17,0.0332563,34.9686,5.6936,0.399615,14.3274,3.90553,19.8684,0.0421833,0.817696,0,39.602,3.49995,3.26347,0.0794395,31.148,
18,0.032599,34.9684,5.69353,0.399986,14.326,3.90493,19.8669,0.0437623,0.815571,0,39.606,3.49934,3.26477,0.0797092,31.1477,
19,0.0317324,34.9687,5.69361,0.400154,14.3273,3.90504,19.8672,0.0428929,0.816868,0,39.6035,3.49946,3.26333,0.0813492,31.1481,
20,0.033755,34.9687,5.69362,0.399764,14.3274,3.90556,19.8632,0.043187,0.816825,0,39.6065,3.49998,3.2633,0.0792734,31.1481,
21,0.0326248,34.969,5.69369,0.400162,14.3277,3.90587,19.862,0.0378517,0.821165,0,39.6077,3.50029,3.26282,0.0797802,31.1485,
22,0.0329668,34.9686,5.69359,0.400403,14.3276,3.90437,19.8633,0.0446194,0.816822,0,39.6078,3.49878,3.26302,0.0796347,31.148,
23,0.0326627,34.9688,5.69366,0.400179,14.3276,3.90488,19.8648,0.0427157,0.81749,0,39.606,3.4993,3.26309,0.0800072,31.1483,
24,0.0317542,34.9689,5.69367,0.39992,14.3294,3.90513,19.8725,0.0422527,0.817854,0,39.599,3.49954,3.26131,0.0800088,31.1483,
25,0.0314203,34.9687,5.69358,0.400038,14.3277,3.90556,19.8605,0.0426308,0.817421,0,39.6107,3.49998,3.26293,0.0807424,31.1479,
26,0.0317923,34.9687,5.69361,0.399793,14.3271,3.90593,19.8691,0.0371677,0.82294,0,39.6015,3.50035,3.2635,0.0802464,31.1481,
27,0.0317489,34.9687,5.69361,0.400085,14.3279,3.90448,19.8703,0.0381411,0.824212,0,39.6007,3.49889,3.26294,0.0800452,31.1481,
28,0.0323283,34.9691,5.69369,0.400736,14.3281,3.90497,19.8622,0.0418418,0.819264,0,39.6076,3.49939,3.26238,0.0798379,31.1485,
29,0.031934,34.9688,5.69363,0.399705,14.3269,3.90561,19.8663,0.0400267,0.821478,0,39.6036,3.50003,3.26398,0.0798628,31.1482,
30,0.0335761,34.9687,5.69363,0.40037,14.3274,3.90412,19.8642,0.0463945,0.816484,0,39.6057,3.49853,3.26346,0.0793218,31.1482,
31,0.0315687,34.9687,5.6936,0.399351,14.3268,3.90698,19.8609,0.0387248,0.820888,0,39.6094,3.50142,3.26381,0.0799831,31.148,
32,0.032625,34.9689,5.69367,0.399306,14.328,3.90692,19.8627,0.0401544,0.819086,0,39.6072,3.50136,3.26267,0.079381,31.1484,
33,0.0329678,34.969,5.6937,0.399338,14.3291,3.90552,19.8646,0.040986,0.819495,0,39.6065,3.49993,3.26195,0.0789343,31.1485,
34,0.0322158,34.9686,5.6936,0.399657,14.3264,3.90586,19.8668,0.0411101,0.81831,0,39.6053,3.50028,3.26441,0.080102,31.148,
35,0.032557,34.9689,5.69368,0.399326,14.3273,3.90652,19.864,0.039075,0.821127,0,39.6059,3.50095,3.26353,0.0793877,31.1484,
36,0.0322087,34.9687,5.69361,0.399156,14.3278,3.90706,19.863,0.039212,0.82088,0,39.6074,3.50149,3.26286,0.079249,31.1481,
37,0.0319997,34.9688,5.69365,0.400006,14.3272,3.90491,19.873,0.0398026,0.819913,0,39.6004,3.49932,3.26356,0.079852,31.1483,
38,0.0314878,34.9686,5.69357,0.399854,14.3262,3.9054,19.8694,0.0429661,0.816574,0,39.604,3.49982,3.26451,0.0805329,31.1479,
39,0.0316157,34.9689,5.69365,0.399178,14.3285,3.90694,19.8641,0.0421379,0.817602,0,39.6064,3.50138,3.26228,0.0799537,31.1483,
40,0.0324642,34.9692,5.6937,0.400356,14.3275,3.90669,19.8663,0.0411534,0.817811,0,39.6038,3.50113,3.26272,0.0794941,31.1485,
41,0.0316812,34.9688,5.69364,0.399326,14.328,3.90664,19.865,0.0363301,0.823458,0,39.6061,3.50107,3.26275,0.0798547,31.1482,
42,0.0315465,34.9685,5.69355,0.399604,14.3265,3.90629,19.8651,0.0376012,0.822584,0,39.6063,3.50072,3.26404,0.080725,31.1478,
43,0.032217,34.9688,5.69363,0.399735,14.3275,3.90595,19.8661,0.0429673,0.817107,0,39.6053,3.50037,3.26319,0.0798878,31.1482,
44,0.0334319,34.9688,5.69362,0.400423,14.3271,3.90451,19.8694,0.0374202,0.82273,0,39.6038,3.49892,3.26351,0.0791667,31.1481,
45,0.0325988,34.9691,5.69371,0.399477,14.328,3.90628,19.8608,0.0380971,0.821483,0,39.6102,3.50071,3.26271,0.0792414,31.1485,
46,0.0324709,34.9689,5.69366,0.400404,14.328,3.90543,19.8643,0.0396552,0.820316,0,39.6069,3.49986,3.26242,0.0803145,31.1483,
47,0.0319872,34.9689,5.69363,0.400015,14.3266,3.90651,19.8695,0.0410623,0.819484,0,39.6007,3.50095,3.2638,0.0799364,31.1482,
48,0.0337031,34.969,5.69369,0.400472,14.3273,3.90491,19.8626,0.0407042,0.821023,0,39.6072,3.49933,3.26328,0.0795635,31.1485,
49,0.032534,34.9687,5.69361,0.40078,14.3259,3.90359,19.8753,0.0379386,0.82302,0,39.5987,3.49799,3.26492,0.0802366,31.1481,
50,0.0319623,34.9686,5.69359,0.399524,14.3268,3.90656,19.8667,0.0424285,0.818057,0,39.6036,3.50099,3.26388,0.0806812,31.148,
51,0.0329783,34.9689,5.69366,0.4005,14.3284,3.90583,19.8717,0.0367261,0.822782,0,39.5997,3.50026,3.2619,0.0797289,31.1483,
52,0.0324333,34.9686,5.6936,0.399323,14.3264,3.90666,19.8704,0.0395765,0.82089,0,39.6007,3.5011,3.26445,0.0795517,31.148,
53,0.031806,34.969,5.69366,0.40028,14.328,3.90436,19.8736,0.041338,0.820198,0,39.5998,3.49877,3.26275,0.0797957,31.1483,
54,0.0320973,34.9689,5.69367,0.399298,14.328,3.90676,19.872,0.0386083,0.821621,0,39.5986,3.50119,3.26276,0.079889,31.1484,
55,0.0322007,34.9687,5.6936,0.3998,14.3269,3.90541,19.8665,0.0431097,0.818583,0,39.6047,3.49983,3.26392,0.0806387,31.148,
56,0.032465,34.9685,5.69354,0.399395,14.3258,3.90702,19.8639,0.039421,0.82144,0,39.6071,3.50146,3.26488,0.0797469,31.1477,
57,0.0322982,34.9689,5.69369,0.399473,14.3282,3.90659,19.8668,0.0442847,0.816224,0,39.6037,3.50102,3.2625,0.0802511,31.1484,
58,0.0329969,34.969,5.69369,0.3992,14.3276,3.90732,19.8624,0.0373717,0.822637,0,39.6075,3.50176,3.26308,0.0793205,31.1485,
59,0.0316501,34.9687,5.6936,0.399481,14.3266,3.90652,19.8649,0.0422235,0.819735,0,39.606,3.50095,3.26411,0.0799128,31.148,
60,0.0318635,34.9687,5.69361,0.399218,14.3274,3.90708,19.8707,0.0404975,0.819855,0,39.6011,3.50152,3.26324,0.0796951,31.1481,
61,0.0318376,34.9688,5.69364,0.399254,14.3274,3.90707,19.8639,0.0373655,0.822627,0,39.6079,3.50151,3.26333,0.0797538,31.1482,
62,0.0319224,34.9686,5.6936,0.399231,14.3273,3.90665,19.8678,0.0453138,0.816378,0,39.6034,3.50108,3.26335,0.0803009,31.148,
63,0.03177,34.9687,5.69362,0.399678,14.3266,3.90567,19.873,0.0381549,0.824837,0,39.5985,3.50009,3.2643,0.0798082,31.1481,
64,0.0317577,34.9688,5.69364,0.399172,14.3283,3.90694,19.8645,0.0404438,0.821611,0,39.6058,3.50138,3.26248,0.0799158,31.1482,
65,0.0321194,34.969,5.69365,0.400187,14.3269,3.90669,19.8653,0.0447553,0.817295,0,39.6045,3.50113,3.26334,0.0799648,31.1483,
66,0.0319067,34.9689,5.69366,0.399975,14.3274,3.90516,19.8743,0.0396561,0.821111,0,39.6002,3.49958,3.26333,0.0796286,31.1483,
67,0.0316184,34.9688,5.69362,0.399544,14.3276,3.90668,19.8676,0.0382748,0.823117,0,39.6038,3.50112,3.26304,0.0802565,31.1481,
68,0.0318228,34.9687,5.69362,0.400129,14.3263,3.90581,19.8745,0.0430829,0.817871,0,39.5989,3.50024,3.26426,0.0798416,31.1481,
69,0.0321196,34.9687,5.69361,0.399624,14.3272,3.90566,19.8788,0.0416199,0.818712,0,39.596,3.50008,3.26364,0.0795013,31.1481,
70,0.0319272,34.9688,5.69367,0.399789,14.3286,3.90474,19.8678,0.0410708,0.822643,0,39.6049,3.49914,3.26242,0.0796559,31.1483,
71,0.032948,34.9687,5.69361,0.399567,14.3278,3.90657,19.8667,0.038326,0.822104,0,39.6056,3.501,3.26277,0.079738,31.1481,
72,0.0324287,34.969,5.69371,0.399422,14.329,3.90632,19.8726,0.044562,0.81681,0,39.5992,3.50075,3.2618,0.0792557,31.1485,
73,0.0324602,34.9688,5.69361,0.400399,14.3263,3.9058,19.8763,0.0363971,0.823611,0,39.5974,3.50023,3.26416,0.0800714,31.1481,
74,0.0317598,34.9688,5.69363,0.399364,14.3276,3.90673,19.873,0.0353705,0.824789,0,39.5997,3.50117,3.26314,0.0805284,31.1482,
75,0.032073,34.969,5.69363,0.400381,14.3264,3.90671,19.8741,0.041242,0.819468,0,39.5983,3.50115,3.26365,0.0792745,31.1482,
76,0.0324841,34.9692,5.6937,0.401015,14.3276,3.9057,19.8634,0.0454381,0.817353,0,39.6069,3.50013,3.26253,0.0796034,31.1485,
77,0.0321481,34.9691,5.69368,0.400043,14.3283,3.90671,19.8754,0.0393768,0.819449,0,39.5984,3.50115,3.26208,0.0795512,31.1484,
78,0.0316363,34.9688,5.69363,0.399364,14.3276,3.90673,19.8717,0.0374219,0.824276,0,39.6001,3.50117,3.26314,0.0801263,31.1482,
79,0.0333707,34.969,5.69373,0.399332,14.3289,3.90663,19.8649,0.0387681,0.822502,0,39.6057,3.50107,3.26198,0.0794996,31.1486,
80,3244.29,19.6377,5.53398,8.92922,248.849,3.69704,96.8233,256.655,236.231,0,305.911,3.64976,6.58077,3276.34,595.132,
81,1.83846,182.248,16.6118,21.6916,248.64,4.89132,110.131,528.899,370.912,0,1033.66,4.40725,86.4253,2.76431,622.768,
82,0.0320476,34.9687,5.69361,0.400241,14.3282,3.90482,19.8669,0.0398691,0.81961,0,39.6036,3.49923,3.26234,0.0800338,31.148,
83,0.0324982,34.9689,5.69365,0.399902,14.3281,3.90483,19.8758,0.0433859,0.817757,0,39.5968,3.49924,3.2627,0.0791607,31.1483,
84,0.0319038,34.9687,5.69358,0.40032,14.3269,3.90406,19.8731,0.0450872,0.818012,0,39.6005,3.49846,3.26384,0.0788289,31.1479,
85,0.0327239,34.9688,5.69366,0.400151,14.3274,3.9042,19.8668,0.0449722,0.817879,0,39.6036,3.49861,3.2635,0.079641,31.1483,
86,2319.81,6.40306,16.0017,351.406,362.253,7.9621,67.4108,487.298,520.435,0,1992.16,8.45458,80.9921,2327.59,1205.06,
87,0.0318736,34.9687,5.69361,0.400277,14.3277,3.90426,19.8626,0.0416462,0.818358,0,39.6081,3.49867,3.26307,0.0805002,31.148,
88,0.031492,34.9688,5.69365,0.399288,14.3277,3.90665,19.8672,0.0414852,0.820648,0,39.6028,3.50108,3.26302,0.0797188,31.1482,
89,0.0318841,34.9688,5.69363,0.400408,14.327,3.90417,19.8646,0.0460735,0.81719,0,39.6069,3.49858,3.26379,0.0797791,31.1482,
90,0.0314324,34.9687,5.69363,0.399954,14.3278,3.90496,19.8663,0.0423415,0.818834,0,39.6048,3.49937,3.26298,0.0802097,31.1482,
91,0.0322833,34.9687,5.6936,0.399502,14.3263,3.90614,19.8641,0.0412575,0.817245,0,39.6055,3.50057,3.2645,0.0795217,31.148,
92,0.0316283,34.9688,5.69366,0.399899,14.3287,3.90505,19.8647,0.0472545,0.816194,0,39.6052,3.49946,3.26202,0.0801418,31.1483,
93,0.0320153,34.9687,5.69365,0.399848,14.3281,3.90587,19.8644,0.035793,0.823517,0,39.6055,3.5003,3.26251,0.0800119,31.1482,
94,0.0323132,34.9688,5.69364,0.400542,14.3274,3.90357,19.8641,0.043516,0.816508,0,39.6066,3.49797,3.26346,0.0800374,31.1482,
95,0.0321,34.9686,5.69359,0.40048,14.3259,3.90385,19.8609,0.038197,0.821988,0,39.608,3.49825,3.26501,0.0802718,31.1479,
96,0.0321432,34.9687,5.69361,0.400064,14.3278,3.90444,19.8643,0.0407674,0.822203,0,39.6056,3.49885,3.26303,0.0798658,31.148,
97,0.0326205,34.9689,5.69366,0.399444,14.3289,3.90672,19.8657,0.0356463,0.824224,0,39.6041,3.50115,3.26163,0.0787605,31.1483,
98,0.0319412,34.9687,5.69359,0.399926,14.3275,3.9052,19.8677,0.0389225,0.821739,0,39.6038,3.49962,3.2632,0.0797206,31.148,
99,0.032073,34.9688,5.69364,0.399687,14.3272,3.90577,19.8729,0.041057,0.818082,0,39.6001,3.50019,3.26355,0.0795649,31.1482,
