Individual,Heave.rear.side_view_swing_arm_angle_l,Heave.rear.coil_over_length_l,Heave.rear.p_rod_length_l,Heave.rear.roll_center_gnd.z,Heave.rear.tie_rod_angle_top_view_l,Heave.rear.toe_angle_l,Heave.rear.motion_ratio_heave_l,Roll.rear.side_view_swing_arm_angle_l,Roll.rear.camber_angle_gain_roll_l,
0,0.2194,23.6842,0,1207.38,0.00460036,0.328495,5.30746,0.0620052,8.85588,
1,0.25173,24.2201,0,1207.4,0.00904839,0.279324,4.76219,0.0837643,8.85758,
2,0.178049,23.8448,0,1207.42,0.000404653,0.374409,5.15624,0.0483225,8.84902,
3,0.196814,23.5688,0,1207.44,0.00408581,0.355916,5.41419,0.0546066,8.84611,
4,0.216577,23.4982,0,1207.37,0.00461833,0.385519,5.47647,0.0813475,8.8432,
5,0.273478,23.8116,0,1207.38,0.0172969,0.25608,5.15066,0.136381,8.85301,
6,0.255407,24.0269,0,1207.42,0.0107639,0.323881,4.91677,0.102546,8.84956,
7,0.25647,23.7898,0,1207.44,0.00334072,0.277929,5.20947,0.0811366,8.84164,
8,0.288479,23.2696,0,1207.4,0.0151545,0.264447,5.72723,0.0876187,8.8555,
9,0.209325,24.0381,0,1207.44,0.00486841,0.375971,4.90923,0.0731303,8.8648,
10,0.230093,23.8531,0,1207.47,0.00092431,0.347281,5.10212,0.0714045,8.84336,
11,0.279141,23.612,0,1207.42,0.0185105,0.28376,5.37355,0.0935704,8.85088,
12,0.264673,23.6309,0,1207.47,0.0133025,0.28584,5.34988,0.0777023,8.84022,
13,0.242124,23.0499,0,1207.48,0.0152227,0.286549,5.95513,0.074546,8.83342,
14,0.287045,23.653,0,1207.46,0.0257917,0.246282,5.30786,0.105499,8.85057,
15,0.238601,23.6142,0,1207.48,0.00513375,0.301126,5.37431,0.0775701,8.84134,
16,0.194443,24.0175,0,1207.46,0.0240009,0.362702,4.91576,0.113321,8.85433,
17,0.251238,23.6847,0,1207.5,0.0187257,0.285427,5.28661,0.0737322,8.8385,
18,0.274034,23.7395,0,1207.45,0.0129663,0.289827,5.24342,0.0860317,8.84185,
19,0.261573,23.6403,0,1207.46,0.0177942,0.293351,5.32041,0.0963694,8.85078,
20,0.272995,23.639,0,1207.5,0.00711393,0.262793,5.34347,0.0809006,8.84239,
21,0.262019,23.6007,0,1207.43,0.011308,0.340414,5.35134,0.0882067,8.86017,
22,0.290477,23.7589,0,1207.41,0.0203785,0.260672,5.22094,0.141466,8.84347,
23,0.199267,23.5483,0,1207.46,0.0207596,0.328869,5.43935,0.10256,8.84808,
24,0.187385,23.6254,0,1207.43,0.0134534,0.378496,5.36127,0.094835,8.8591,
25,0.204251,23.4107,0,1207.49,0.00623245,0.349251,5.59641,0.0566495,8.83277,
26,0.247675,23.5104,0,1207.48,0.0198293,0.292855,5.47461,0.0808482,8.84652,
27,0.185334,23.5893,0,1207.53,0.0171032,0.337273,5.39209,0.0606513,8.83954,
28,0.248677,23.769,0,1207.49,0.017804,0.279499,5.22221,0.0996044,8.8313,
29,0.207234,23.6622,0,1207.48,0.00694046,0.371354,5.31641,0.0664307,8.84286,
30,0.149131,24.1313,0,1207.51,0.0185051,0.410823,4.79674,0.095508,8.83955,
31,0.201674,23.6798,0,1207.53,0.0267897,0.3231,5.29144,0.0581193,8.84413,
32,0.254663,24.3253,0,1207.54,0.011971,0.281821,4.62753,0.0764728,8.84272,
33,0.199712,23.5121,0,1207.49,0.0013877,0.368695,5.47764,0.060903,8.85458,
34,0.155593,23.5162,0,1207.47,0.0260333,0.43397,5.46571,0.0461195,8.85121,
35,0.25415,23.6985,0,1207.51,0.0201901,0.274045,5.26702,0.0973586,8.84787,
36,0.282943,24.2593,0,1207.46,0.00125455,0.241786,4.73082,0.140432,8.84711,
37,0.271106,23.857,0,1207.47,0.0142065,0.259025,5.14991,0.0883412,8.85874,
38,0.220853,23.8264,0,1207.47,0.0238925,0.317632,5.16219,0.120234,8.82965,
39,0.187068,24.0039,0,1207.44,0.0195471,0.347684,5.02397,0.106175,8.84849,
40,0.320013,23.4191,0,1207.47,0.00671664,0.244272,5.56976,0.105579,8.84395,
41,0.190643,23.2564,0,1207.52,0.0211219,0.372734,5.73114,0.0518415,8.82958,
42,0.122808,23.6463,0,1207.47,0.00118978,0.414259,5.37957,0.0891574,8.84847,
43,0.180398,23.7868,0,1207.59,0.0144091,0.32766,5.17002,0.0623067,8.84451,
44,0.253681,23.7407,0,1207.45,0.0212324,0.292583,5.25117,0.125876,8.8425,
45,0.219936,23.8691,0,1207.48,0.0211661,0.363131,5.09461,0.0644339,8.86026,
46,0.155412,23.525,0,1207.51,0.0214953,0.400416,5.4639,0.0528983,8.84641,
47,0.24803,23.9418,0,1207.5,0.0139461,0.316031,5.03966,0.0723158,8.84683,
48,0.243223,23.5794,0,1207.48,0.0146301,0.276436,5.43471,0.104173,8.84421,
49,0.162146,23.1478,0,1207.49,0.00462557,0.366389,5.87735,0.0895936,8.84878,
50,0.266806,23.6869,0,1207.44,0.0258081,0.326556,5.29412,0.0999388,8.84102,
51,0.224186,23.4785,0,1207.48,0.0260147,0.341491,5.51056,0.0713303,8.84974,
52,0.182142,23.546,0,1207.53,0.0246371,0.349854,5.45658,0.0558086,8.83932,
53,0.191978,23.5387,0,1207.52,0.0227514,0.354322,5.44691,0.0676917,8.84638,
54,0.249512,23.5286,0,1207.47,0.0151948,0.289643,5.46308,0.122823,8.84843,
55,0.222426,23.6116,0,1207.51,0.0169568,0.304568,5.37181,0.101421,8.84919,
56,0.263279,23.5473,0,1207.43,0.0174366,0.274728,5.51384,0.0933042,8.84562,
57,0.37389,23.8547,0,1207.36,0.00627264,0.235007,5.13573,0.18353,8.8456,
58,0.24703,23.9067,0,1207.49,0.0279747,0.304611,5.10069,0.0777898,8.84284,
59,0.212603,23.5449,0,1207.54,0.0242604,0.307474,5.43324,0.0939545,8.84243,
60,0.222404,23.9088,0,1207.52,0.000537755,0.326453,5.09166,0.0901564,8.83461,
61,0.245491,23.4114,0,1207.49,0.0178795,0.300377,5.57375,0.117826,8.84131,
62,0.199339,23.5349,0,1207.52,0.0142175,0.3527,5.47292,0.0611413,8.84558,
63,0.195817,23.7475,0,1207.48,0.0129495,0.348133,5.24746,0.125913,8.84343,
64,0.299489,23.6197,0,1207.48,0.0189117,0.244075,5.39272,0.103557,8.84342,
65,0.179651,23.6909,0,1207.55,0.0234925,0.352237,5.28773,0.0749214,8.84648,
66,0.155932,23.9078,0,1207.56,0.0281388,0.42333,5.04976,0.0381377,8.84173,
67,0.248078,23.5837,0,1207.52,0.0151252,0.278258,5.40538,0.102427,8.84707,
68,0.333628,24.2674,0,1207.42,0.0214172,0.26308,4.70767,0.14404,8.84932,
69,0.207205,23.3913,0,1207.53,0.0184096,0.338754,5.60796,0.0596507,8.85394,
70,0.234824,23.6809,0,1207.52,0.0185319,0.286554,5.32841,0.0939696,8.8399,
71,0.239395,23.6332,0,1207.42,0.0206404,0.311964,5.45914,0.0697545,8.85355,
72,0.180315,23.4714,0,1207.56,0.00997045,0.374456,5.52231,0.0578272,8.84053,
73,0.232934,23.6521,0,1207.53,0.0160348,0.313599,5.33913,0.077089,8.84878,
74,0.274214,23.6587,0,1207.41,0.0192192,0.346134,5.32804,0.126541,8.85498,
75,0.271772,23.6508,0,1207.48,0.0200733,0.308933,5.33702,0.0973358,8.85478,
76,0.23415,23.6491,0,1207.53,0.013069,0.317145,5.3345,0.097952,8.83934,
77,0.249663,23.7564,0,1207.4,0.0185821,0.382949,5.234,0.114246,8.85838,
78,0.256502,23.5256,0,1207.52,0.0186878,0.290816,5.45579,0.111644,8.8434,
79,0.167632,23.7969,0,1207.55,0.00429478,0.380421,5.18153,0.102092,8.84075,
80,0.278167,23.6218,0,1207.43,0.0262677,0.325679,5.34757,0.10462,8.8432,
81,801.207,672.711,0,3226.94,9.17955,13.1605,74.4749,800.96,80.3344,
82,794.946,303.507,0,3221.07,5.89709,17.4005,496.209,794.689,80.172,
83,0.206483,22.749,0,1207.44,0.00791162,0.337208,6.30495,0.0743587,8.85763,
84,0.242873,23.7263,0,1207.36,0.0141356,0.300326,5.26839,0.0704381,8.84351,
85,0.269352,23.6222,0,1207.47,0.0237417,0.276406,5.42075,0.120171,8.83915,
86,1410.79,1817.89,0,3621.91,6.11625,968.338,110.623,1385.21,82.142,
87,635.69,1953.51,0,2664.89,10.4859,889.008,908.984,626.218,41.5176,
88,1600.66,1311.32,0,2318.02,10.8994,1189.77,10136.7,1579.67,35.3114,
89,1519.85,1797.58,0,2207.94,10.8623,1207.86,97.1769,1499.93,27.5251,
90,0.251806,23.5771,0,1207.57,0.0288445,0.282815,5.41094,0.0743736,8.844,
91,1015.97,864.071,0,1380.21,2.44678,211.562,166.728,1017.21,29.4868,
92,0.22151,23.8563,0,1207.48,0.00941131,0.329978,5.16019,0.0628445,8.83941,
93,1173.94,284.927,0,1441.67,2.16335,457.706,945.217,1175.38,30.0282,
94,0.223284,23.7162,0,1207.5,0.00111724,0.299785,5.25892,0.108174,8.84608,
95,0.21367,23.7204,0,1207.51,0.0219286,0.328103,5.25648,0.163944,8.85172,
96,0.243098,23.6838,0,1207.46,0.0152321,0.314193,5.29168,0.0754216,8.84419,
97,1.11305,295.317,0,5122.69,0.142568,6.62753,518.517,0.861998,123.612,
98,0.293996,23.4627,0,1207.43,0.00682317,0.243385,5.53472,0.146759,8.84589,
99,0.17537,23.7534,0,1207.38,0.0171543,0.351367,5.23597,0.0852148,8.84933,
